date,price,volume
2000-02-14,86.5,627800
2000-02-15,86.5,542400
2000-02-16,82.94,720300
2000-02-17,82.13,895500
2000-02-18,80.81,925500
2000-02-22,81.56,720100
2000-02-23,85.75,702900
2000-02-24,89.63,1199800
2000-02-25,89.25,1333000
2000-02-28,88,518000
2000-02-29,92.5,1381200
2000-03-01,94.75,1488900
2000-03-02,96.25,1819200
2000-03-03,102.5,2295900
2000-03-06,103.7,1421000
2000-03-07,104.9,1041300
2000-03-08,101.8,1041100
2000-03-09,107.2,535500
2000-03-10,112.3,2034400
2000-03-13,110.4,1454200
2000-03-14,104.8,653100
2000-03-15,103.6,700300
2000-03-16,103.3,2024800
2000-03-17,116.5,2099400
2000-03-20,113.4,2254000
2000-03-21,118.3,2692800
2000-03-22,117.1,1258900
2000-03-23,119,1656900
2000-03-24,121.3,1934400
2000-03-27,112,1315000
2000-03-28,113.3,1649400
2000-03-29,114.2,754300
2000-03-30,106.9,1241200
2000-03-31,105.3,1693300
2000-04-03,105.5,1789500
2000-04-04,98.25,3739600
2000-04-05,97.44,3238700
2000-04-06,106,1675700
2000-04-07,102.5,1373500
2000-04-10,107.1,1749900
2000-04-11,104.8,1147200
2000-04-12,96.56,2598500
2000-04-13,95.25,3377700
2000-04-14,82.75,4855800
2000-04-17,87.5,3489600
2000-04-18,93.75,2191500
2000-04-19,92.06,1390200
2000-04-20,88.81,1061100
2000-04-24,86.88,1764300
2000-04-25,97.06,1341500
2000-04-26,94.5,1626100
2000-04-27,95.19,1772400
2000-04-28,93.25,1145600
2000-05-01,97,2319300
2000-05-02,93,1666500
2000-05-03,91.13,1931000
2000-05-04,90.19,920700
2000-05-05,89.88,1378100
2000-05-08,87.31,2817000
2000-05-09,85.63,1739100
2000-05-10,81.44,2340600
2000-05-11,80.88,2276000
2000-05-12,83.77,1911200
2000-05-15,87.06,1668900
2000-05-16,85.5,2538400
2000-05-17,84.69,1231000
2000-05-18,85.25,1493000
2000-05-19,84.56,1537500
2000-05-22,82,1345600
2000-05-23,82.81,1203900
2000-05-24,80,1530200
2000-05-25,73,4030100
2000-05-26,69.81,2378100
2000-05-30,72,2205300
2000-05-31,73.56,1363800
2000-06-01,76.38,1684900
2000-06-02,86.88,3567900
2000-06-05,84.5,1576600
2000-06-06,83.13,1033200
2000-06-07,86.69,1319900
2000-06-08,85.06,1255000
2000-06-09,83.25,1006800
2000-06-12,83.31,732800
2000-06-13,85.13,773200
2000-06-14,89.94,1953600
2000-06-15,90.25,2120900
2000-06-16,89.94,1792300
2000-06-19,91.63,2092900
2000-06-20,89,2362600
2000-06-21,86.63,2875200
2000-06-22,84.25,1480100
2000-06-23,86,1616700
2000-06-26,87.75,1175700
2000-06-27,88.31,1175700
2000-06-28,89.88,1180400
2000-06-29,92.63,1385400
2000-06-30,94.77,2540600
2000-07-03,94.94,453100
2000-07-05,95.94,1077000
2000-07-06,93.19,3343100
2000-07-07,94.94,1265600
